Age,Job,MaritalStatus,EducationLevel,CurrentCustomer,UsesRelevantService,ContactMeans,ContactDay,ContactMonth,ContactsTotal,DaysFromPrevAttempt,PrevAttempts,PrevOutcome,CallStartTime,CallEndTime,Outcome
52,technician,married,secondary,1,1,mobile-phone,24,feb,1,273,3,failure,12:17:50,12:19:46,0
30,unemployed,single,tertiary,0,0,mobile-phone,11,feb,3,-1,0,,09:39:38,09:48:26,1
48,data analyst,married,tertiary,0,1,mobile-phone,19,feb,4,182,1,success,10:55:35,10:58:59,1
52,unemployed,divorced,secondary,0,0,mobile-phone,24,dec,2,-1,0,,12:58:24,13:05:26,1
34,construction worker,married,secondary,1,0,mobile-phone,11,feb,2,297,2,failure,10:44:06,10:47:57,1
24,student,single,secondary,0,0,mobile-phone,13,jul,1,412,1,call-again,11:54:26,12:02:21,1
32,data analyst,married,tertiary,0,0,mobile-phone,29,jul,2,90,9,failure,10:40:51,10:49:30,1
35,student,single,secondary,1,0,mobile-phone,16,feb,3,200,5,failure,16:02:26,16:03:41,1
51,unemployed,married,primary,1,0,mobile-phone,25,jul,1,-1,0,,17:40:47,18:14:22,1
34,civil servant,single,secondary,1,0,mobile-phone,2,sep,3,100,5,other,15:27:24,15:29:25,1
56,construction worker,single,primary,1,0,telephone,8,may,2,347,5,failure,17:58:16,18:01:27,0
42,data analyst,married,,0,0,mobile-phone,19,oct,1,92,1,success,09:45:06,09:48:56,1
41,civil servant,married,tertiary,0,0,mobile-phone,30,oct,3,-1,0,,12:11:33,12:15:50,1
63,data analyst,married,,0,0,telephone,4,may,7,-1,0,,10:35:43,10:43:38,1
70,retired,married,primary,0,0,mobile-phone,8,jan,2,-1,0,,10:48:22,10:53:23,1
45,civil servant,married,secondary,1,1,mobile-phone,21,jul,2,-1,0,,12:29:18,12:33:54,0
52,construction worker,married,secondary,0,0,mobile-phone,21,nov,2,-1,0,,13:46:24,14:02:29,1
38,construction worker,single,primary,1,0,mobile-phone,28,jan,1,-1,0,,16:25:27,16:26:37,0
72,retired,single,tertiary,0,0,telephone,2,nov,5,98,2,failure,16:56:37,16:59:36,0
31,data analyst,married,secondary,0,0,mobile-phone,11,aug,1,-1,0,,10:29:49,10:41:49,1
32,civil servant,married,secondary,1,1,mobile-phone,18,nov,2,-1,0,,13:25:15,13:31:55,0
27,technician,single,secondary,1,1,mobile-phone,5,feb,2,216,4,failure,13:30:49,13:33:16,0
58,retired,divorced,primary,0,0,telephone,29,jul,6,-1,0,,10:36:45,10:37:38,0
32,data analyst,married,tertiary,0,0,mobile-phone,14,jul,3,-1,0,,17:52:55,17:54:56,0
35,data analyst,single,tertiary,1,0,mobile-phone,17,apr,1,-1,0,,17:00:55,17:10:49,1
31,construction worker,married,secondary,1,0,,20,may,1,-1,0,,17:55:09,18:07:08,1
39,technician,married,secondary,0,0,mobile-phone,22,may,2,-1,0,,13:09:42,13:18:56,1
39,technician,married,secondary,1,0,mobile-phone,18,may,3,357,4,failure,15:27:00,15:29:02,0
30,civil servant,single,secondary,1,0,mobile-phone,18,may,1,-1,0,,14:35:24,14:37:02,0
52,retired,married,primary,1,1,mobile-phone,10,aug,2,102,2,failure,14:15:04,14:20:56,0
23,technician,single,tertiary,1,0,,28,may,1,-1,0,,16:16:30,16:29:56,1
26,technician,married,secondary,1,0,,9,may,2,-1,0,,17:59:20,18:04:02,0
78,retired,divorced,secondary,0,0,telephone,11,aug,1,-1,0,,14:55:08,14:56:43,0
35,technician,single,tertiary,0,0,mobile-phone,14,jan,7,-1,0,,16:40:42,16:43:49,1
38,self-employed,married,secondary,1,0,mobile-phone,4,feb,5,-1,0,,16:38:50,16:43:31,0
35,retired,married,tertiary,1,0,mobile-phone,15,may,5,179,4,failure,15:50:35,15:56:01,1
48,engineer,single,secondary,1,0,telephone,30,jun,1,450,2,failure,15:05:05,15:09:28,1
60,retired,married,tertiary,0,0,telephone,26,may,1,-1,0,,15:38:56,16:01:22,1
45,engineer,married,secondary,1,0,mobile-phone,3,jun,2,-1,0,,12:10:18,12:14:02,1
55,construction worker,married,primary,1,0,,8,may,2,-1,0,,16:14:02,16:18:54,0
57,retired,married,tertiary,0,0,mobile-phone,17,apr,1,-1,0,,12:25:36,12:31:54,1
27,civil servant,single,tertiary,1,0,mobile-phone,24,jul,1,-1,0,,13:19:25,13:22:32,0
59,unemployed,divorced,secondary,0,0,mobile-phone,22,feb,1,130,1,failure,09:48:31,09:53:18,0
28,engineer,single,,1,0,mobile-phone,18,jul,2,-1,0,,14:17:49,14:24:44,1
37,civil servant,married,secondary,1,0,,27,may,5,-1,0,,16:01:00,16:06:19,0
36,data analyst,married,tertiary,0,0,mobile-phone,28,jan,2,-1,0,,14:54:11,14:56:21,1
78,,married,,0,0,telephone,14,apr,3,-1,0,,16:31:36,16:36:36,1
38,data analyst,married,secondary,1,0,mobile-phone,20,apr,3,-1,0,,13:44:49,13:49:08,0
43,technician,divorced,tertiary,0,0,,14,may,2,-1,0,,13:14:47,13:19:26,0
60,retired,married,,0,0,mobile-phone,13,aug,2,-1,0,,12:15:58,12:17:34,0
38,construction worker,married,primary,1,0,mobile-phone,17,jun,3,94,19,other,10:17:37,10:19:18,0
38,technician,married,secondary,1,1,mobile-phone,15,jul,4,-1,0,,12:22:54,12:25:20,0
31,civil servant,divorced,primary,1,0,mobile-phone,7,may,1,293,1,success,13:37:08,13:47:31,1
30,unemployed,single,secondary,0,1,mobile-phone,5,feb,2,196,1,failure,09:12:48,09:21:36,0
28,technician,single,tertiary,1,0,mobile-phone,12,aug,1,79,3,success,15:38:28,15:40:58,0
27,engineer,married,secondary,1,0,,27,may,1,-1,0,,11:34:27,11:34:48,0
19,student,single,secondary,0,0,mobile-phone,30,apr,1,190,2,success,15:57:27,16:00:16,1
35,data analyst,single,tertiary,1,0,mobile-phone,21,apr,3,-1,0,,14:07:49,14:13:22,1
40,unemployed,single,tertiary,0,0,mobile-phone,2,jun,1,-1,0,,17:11:48,17:21:44,1
35,construction worker,married,secondary,1,0,,28,may,5,-1,0,,09:23:19,09:25:18,0
35,data analyst,single,tertiary,0,0,mobile-phone,22,dec,3,165,2,other,13:08:19,13:15:09,1
62,retired,married,primary,0,0,mobile-phone,14,apr,1,-1,0,,17:33:25,17:41:50,1
27,technician,single,tertiary,0,0,mobile-phone,6,aug,3,93,2,success,10:39:44,10:43:22,1
39,construction worker,married,secondary,1,1,mobile-phone,7,may,4,168,3,failure,14:23:03,14:24:36,0
37,self-employed,divorced,secondary,0,0,,9,jun,2,-1,0,,12:41:03,12:44:08,0
46,engineer,single,secondary,0,0,mobile-phone,22,may,1,-1,0,,11:21:04,11:22:15,0
51,retired,married,primary,1,0,,20,may,3,-1,0,,10:18:03,10:20:25,0
58,self-employed,married,tertiary,1,0,,5,may,1,-1,0,,16:17:27,16:23:22,0
32,construction worker,married,primary,1,0,,26,may,5,-1,0,,14:49:03,14:52:08,0
45,technician,single,secondary,1,0,mobile-phone,17,nov,1,-1,0,,17:43:53,17:44:27,0
40,engineer,married,primary,1,1,mobile-phone,21,nov,1,-1,0,,09:33:55,09:48:04,1
56,engineer,married,secondary,0,0,,21,may,6,-1,0,,10:27:56,10:39:08,0
42,civil servant,married,secondary,1,0,mobile-phone,2,jun,2,92,4,success,12:31:20,12:35:51,1
43,engineer,married,secondary,0,0,mobile-phone,16,apr,2,-1,0,,14:28:22,14:30:34,0
29,data analyst,single,tertiary,1,0,,23,may,1,-1,0,,12:36:01,12:38:41,0
64,retired,married,secondary,0,0,mobile-phone,18,aug,1,-1,0,,17:22:56,17:24:53,0
37,engineer,divorced,secondary,1,0,,21,may,1,-1,0,,13:27:14,13:28:26,0
40,construction worker,single,secondary,1,0,,8,may,1,-1,0,,17:10:14,17:13:24,0
56,construction worker,single,secondary,0,1,mobile-phone,8,jul,3,-1,0,,09:17:08,09:30:47,1
45,construction worker,married,primary,1,0,,12,may,5,-1,0,,12:35:23,12:43:03,1
33,data analyst,single,tertiary,0,0,mobile-phone,12,aug,1,-1,0,,15:39:09,15:55:27,1
39,construction worker,married,secondary,1,0,,29,may,3,-1,0,,13:50:30,13:53:59,0
28,construction worker,married,secondary,1,0,,9,may,1,-1,0,,10:40:08,10:47:43,0
46,data analyst,divorced,tertiary,1,0,mobile-phone,24,mar,2,-1,0,,12:12:06,12:14:30,1
31,technician,single,secondary,1,0,mobile-phone,8,may,1,-1,0,,17:36:10,17:39:28,0
29,data analyst,single,tertiary,0,0,,16,may,25,-1,0,,12:46:07,12:46:23,0
31,civil servant,single,secondary,1,0,mobile-phone,13,may,4,176,1,failure,17:21:19,17:22:31,0
34,engineer,married,secondary,1,0,,8,jun,1,-1,0,,15:03:43,15:04:32,0
46,engineer,married,secondary,1,0,telephone,21,nov,9,-1,0,,10:00:32,10:03:44,0
28,construction worker,single,secondary,1,1,,9,may,3,-1,0,,12:30:34,12:32:39,0
33,data analyst,single,tertiary,0,0,mobile-phone,8,oct,2,183,1,success,11:10:41,11:20:52,1
37,unemployed,single,tertiary,0,0,mobile-phone,5,aug,1,97,2,success,17:55:50,17:58:20,1
38,data analyst,single,secondary,0,0,,9,jun,1,-1,0,,17:46:20,17:51:00,0
44,data analyst,single,tertiary,1,0,mobile-phone,8,aug,2,-1,0,,09:40:55,09:44:16,0
36,data analyst,single,tertiary,0,0,mobile-phone,7,may,1,366,1,other,14:03:52,14:06:42,0
41,retired,married,secondary,0,0,,5,jun,2,-1,0,,17:20:17,17:37:50,1
41,construction worker,married,secondary,1,0,mobile-phone,6,apr,4,-1,0,,13:30:57,13:33:42,0
51,engineer,married,tertiary,1,0,telephone,23,jul,1,-1,0,,10:42:15,10:45:20,0
38,data analyst,married,tertiary,0,0,,3,jun,5,-1,0,,14:22:31,14:33:33,0
34,civil servant,married,secondary,0,0,mobile-phone,12,aug,2,104,1,success,13:26:38,13:30:53,1
31,data analyst,single,tertiary,0,0,mobile-phone,25,aug,5,-1,0,,12:19:04,12:22:15,0
35,data analyst,married,tertiary,1,0,mobile-phone,19,nov,2,-1,0,,10:52:51,10:57:16,0
30,data analyst,single,tertiary,1,0,mobile-phone,30,dec,2,218,1,failure,10:06:26,10:08:52,0
34,data analyst,married,tertiary,1,0,mobile-phone,17,jun,2,227,4,failure,15:24:37,15:32:42,1
44,construction worker,divorced,secondary,1,0,,7,may,1,-1,0,,09:15:41,09:23:46,0
56,retired,divorced,secondary,0,0,mobile-phone,7,jul,1,-1,0,,09:44:51,10:04:51,0
41,engineer,divorced,secondary,1,0,mobile-phone,5,feb,1,211,1,failure,11:41:49,11:45:41,0
52,retired,married,secondary,0,0,,6,jun,2,-1,0,,09:40:37,09:47:01,0
53,construction worker,married,secondary,1,0,mobile-phone,7,may,1,359,1,failure,09:55:13,09:56:19,0
39,retired,married,primary,1,0,mobile-phone,14,jul,3,-1,0,,15:55:57,16:02:14,0
21,student,single,,0,0,mobile-phone,14,sep,1,-1,0,,14:44:55,14:50:35,1
26,construction worker,single,primary,1,0,,4,jun,4,-1,0,,17:48:38,17:54:07,0
28,construction worker,married,secondary,1,0,,28,may,1,-1,0,,13:07:06,13:10:32,0
34,data analyst,single,tertiary,1,0,mobile-phone,16,apr,2,-1,0,,16:06:57,16:12:13,0
30,data analyst,single,tertiary,1,0,mobile-phone,6,nov,1,-1,0,,14:25:57,14:28:27,1
33,civil servant,married,secondary,1,0,mobile-phone,13,may,2,-1,0,,11:48:53,12:09:00,1
34,engineer,divorced,secondary,0,0,mobile-phone,18,jul,1,-1,0,,17:07:53,17:18:34,1
42,technician,divorced,secondary,1,1,mobile-phone,29,jul,23,-1,0,,17:32:43,17:32:53,0
54,self-employed,divorced,tertiary,1,1,mobile-phone,29,jan,3,-1,0,,10:14:15,10:19:24,0
47,engineer,divorced,secondary,0,0,mobile-phone,27,may,1,103,1,success,11:27:44,11:35:03,1
55,technician,married,secondary,1,0,,16,may,4,-1,0,,09:46:04,10:03:07,0
40,construction worker,married,secondary,1,1,,7,may,1,-1,0,,11:24:19,11:28:06,0
42,construction worker,married,secondary,0,0,mobile-phone,3,jun,1,195,1,failure,14:45:37,14:57:22,1
51,technician,married,tertiary,0,0,mobile-phone,17,nov,3,-1,0,,16:35:01,16:51:18,1
46,civil servant,married,secondary,1,0,,2,jun,3,-1,0,,15:07:36,15:09:21,0
62,construction worker,married,secondary,0,0,mobile-phone,11,nov,1,92,3,success,11:44:03,11:48:52,1
31,data analyst,single,tertiary,1,0,mobile-phone,9,jul,1,-1,0,,11:23:15,11:25:29,0
46,civil servant,divorced,secondary,1,0,telephone,21,nov,2,-1,0,,14:35:34,14:39:14,0
37,construction worker,married,secondary,1,0,telephone,9,feb,9,-1,0,,10:25:29,10:25:57,0
35,data analyst,single,tertiary,1,0,mobile-phone,22,mar,1,-1,0,,14:17:06,14:20:41,1
49,construction worker,married,primary,1,0,mobile-phone,7,jul,3,-1,0,,16:37:35,16:45:46,1
46,data analyst,married,tertiary,1,0,mobile-phone,8,apr,1,-1,0,,10:49:30,10:52:24,0
20,student,single,,0,0,mobile-phone,29,dec,1,-1,0,,12:30:20,12:35:04,1
35,construction worker,married,,0,0,mobile-phone,2,jun,2,-1,0,,15:38:18,15:39:17,0
57,retired,married,secondary,0,0,mobile-phone,22,feb,1,-1,0,,13:21:44,13:25:04,0
44,construction worker,married,secondary,1,0,mobile-phone,19,nov,2,174,1,failure,09:00:53,09:02:59,0
35,technician,married,secondary,0,0,mobile-phone,11,jul,2,-1,0,,17:55:49,18:00:20,0
57,retired,married,primary,0,0,mobile-phone,25,aug,4,-1,0,,17:58:48,18:00:11,0
33,construction worker,single,primary,1,0,mobile-phone,14,may,1,290,2,failure,14:36:30,14:37:44,0
52,data analyst,single,tertiary,0,0,telephone,19,aug,20,-1,0,,16:11:18,16:11:36,0
40,civil servant,single,secondary,1,0,mobile-phone,15,may,3,-1,0,,09:23:52,09:24:07,0
35,construction worker,divorced,primary,0,1,mobile-phone,29,jul,7,-1,0,,17:03:25,17:05:09,0
30,data analyst,single,tertiary,0,0,mobile-phone,4,jun,2,-1,0,,16:31:42,16:41:20,1
31,self-employed,married,tertiary,0,0,mobile-phone,6,feb,2,-1,0,,13:22:56,13:25:50,0
61,data analyst,married,tertiary,0,0,mobile-phone,10,mar,1,-1,0,,12:21:47,12:23:33,1
56,retired,married,secondary,0,0,mobile-phone,7,aug,2,-1,0,,12:58:17,13:00:23,0
52,technician,married,secondary,0,0,mobile-phone,28,jan,3,-1,0,,16:56:58,17:00:16,0
27,engineer,married,secondary,0,0,mobile-phone,5,jun,1,-1,0,,10:51:08,10:57:45,1
31,civil servant,married,secondary,1,0,mobile-phone,8,may,2,-1,0,,17:34:44,17:39:18,0
57,retired,divorced,primary,0,0,telephone,17,feb,4,-1,0,,13:47:38,13:51:00,1
30,data analyst,married,tertiary,1,0,mobile-phone,11,aug,5,-1,0,,13:17:26,13:21:35,0
46,technician,divorced,tertiary,1,0,,6,may,1,-1,0,,12:49:41,12:51:35,0
58,unemployed,married,secondary,0,0,mobile-phone,26,may,2,-1,0,,13:09:00,13:11:49,0
40,data analyst,married,tertiary,0,0,mobile-phone,19,aug,2,-1,0,,16:25:46,16:27:37,0
42,unemployed,married,tertiary,0,0,mobile-phone,27,feb,1,-1,0,,09:46:40,09:49:16,1
41,entrepreneur,single,secondary,0,0,mobile-phone,24,jul,1,-1,0,,10:52:25,11:12:29,1
62,retired,married,secondary,0,0,mobile-phone,4,aug,1,1,8,success,17:08:06,17:12:54,1
37,civil servant,married,secondary,1,0,,2,jun,2,-1,0,,13:12:13,13:20:02,0
30,civil servant,married,secondary,0,0,mobile-phone,17,jul,1,-1,0,,17:39:04,17:40:46,0
58,data analyst,married,tertiary,1,0,mobile-phone,8,jul,1,-1,0,,09:41:37,09:44:56,0
44,engineer,married,secondary,1,1,,3,jun,2,-1,0,,15:21:55,15:26:26,0
43,technician,married,secondary,1,0,mobile-phone,3,feb,3,264,4,other,14:39:03,14:41:20,0
45,technician,married,secondary,0,0,,11,jun,1,-1,0,,16:16:33,16:23:55,0
34,data analyst,married,tertiary,0,0,mobile-phone,1,sep,1,44,3,other,09:03:02,09:08:02,1
44,construction worker,married,secondary,0,0,mobile-phone,30,jul,2,-1,0,,13:51:49,14:03:13,1
43,technician,divorced,secondary,1,0,,23,may,1,-1,0,,13:26:23,13:28:56,0
46,construction worker,single,primary,1,0,,19,may,2,-1,0,,11:52:48,11:54:50,0
36,data analyst,single,tertiary,1,0,,29,may,1,-1,0,,17:44:27,17:46:08,0
60,retired,married,primary,1,0,,11,jun,1,-1,0,,12:29:08,12:35:10,0
27,data analyst,single,secondary,1,0,mobile-phone,18,may,2,346,11,failure,16:50:25,16:53:15,0
18,student,single,primary,0,0,mobile-phone,13,nov,1,93,1,success,09:54:30,09:58:00,1
30,construction worker,married,secondary,1,1,mobile-phone,19,nov,2,-1,0,,16:54:05,17:01:18,0
57,technician,divorced,secondary,0,0,mobile-phone,14,aug,2,-1,0,,10:09:24,10:21:11,1
28,technician,single,tertiary,0,0,mobile-phone,10,mar,1,-1,0,,16:45:47,16:50:08,1
38,engineer,divorced,secondary,1,0,mobile-phone,2,feb,1,-1,0,,14:06:35,14:10:47,0
41,data analyst,divorced,tertiary,1,0,,13,may,2,-1,0,,13:48:40,13:52:32,0
31,student,single,tertiary,0,0,mobile-phone,2,jun,2,-1,0,,10:15:22,10:19:43,1
47,retired,married,primary,1,0,mobile-phone,14,may,3,-1,0,,14:24:52,14:29:13,0
54,technician,married,secondary,0,0,mobile-phone,28,jan,1,-1,0,,11:14:42,11:20:20,0
36,technician,single,primary,1,0,mobile-phone,18,nov,2,110,3,call-again,10:00:32,10:02:45,0
22,civil servant,single,primary,1,0,,28,may,3,-1,0,,12:36:45,12:38:31,0
31,engineer,married,secondary,1,0,mobile-phone,5,may,2,-1,0,,16:12:23,16:17:13,0
59,retired,married,primary,0,0,mobile-phone,7,aug,3,-1,0,,17:44:27,17:51:55,0
51,self-employed,married,secondary,1,0,mobile-phone,23,jul,4,-1,0,,13:01:35,13:23:24,1
60,civil servant,married,secondary,0,0,,23,may,2,-1,0,,16:36:39,16:38:51,0
37,data analyst,married,tertiary,1,0,mobile-phone,9,feb,3,-1,0,,15:47:02,15:47:43,0
61,retired,married,secondary,0,0,mobile-phone,25,jan,1,94,1,success,16:46:41,16:57:20,1
43,construction worker,married,secondary,0,1,mobile-phone,16,jul,11,-1,0,,13:41:08,13:58:07,1
21,construction worker,single,secondary,0,0,mobile-phone,17,feb,2,-1,0,,13:53:18,13:54:50,1
30,civil servant,married,secondary,1,1,,26,may,3,-1,0,,15:20:58,15:26:04,0
55,technician,divorced,tertiary,1,0,,30,may,1,-1,0,,12:47:28,12:51:22,0
51,data analyst,married,tertiary,0,1,mobile-phone,29,jul,6,-1,0,,09:08:43,09:12:07,0
40,civil servant,married,primary,1,0,,15,may,2,-1,0,,17:40:43,17:56:03,1
34,data analyst,married,tertiary,1,0,mobile-phone,7,aug,1,99,2,success,15:57:37,16:01:59,1
46,technician,married,secondary,0,0,mobile-phone,19,jul,1,276,2,call-again,15:58:44,16:17:52,1
39,data analyst,single,tertiary,1,0,mobile-phone,18,nov,2,-1,0,,16:27:07,16:37:40,0
41,data analyst,single,tertiary,0,0,mobile-phone,29,aug,2,-1,0,,11:25:44,11:27:46,0
57,data analyst,divorced,tertiary,1,0,,21,may,10,-1,0,,12:30:17,12:32:39,0
39,technician,single,secondary,1,0,,29,may,1,-1,0,,15:54:02,15:59:24,0
51,data analyst,divorced,tertiary,0,0,mobile-phone,13,aug,2,-1,0,,14:19:07,14:20:07,0
42,engineer,single,secondary,1,1,telephone,21,oct,1,166,1,other,12:04:23,12:13:02,1
49,engineer,married,secondary,1,0,telephone,24,oct,1,-1,0,,10:27:20,10:28:57,1
63,retired,married,secondary,0,0,mobile-phone,25,jan,1,-1,0,,15:03:15,15:10:18,1
34,data analyst,single,tertiary,1,0,telephone,6,apr,1,-1,0,,16:46:12,16:47:38,0
52,technician,single,secondary,1,0,,16,may,1,-1,0,,14:44:16,14:49:51,0
43,construction worker,married,primary,1,1,,15,may,4,-1,0,,16:21:15,16:28:15,0
44,civil servant,married,secondary,1,0,,26,may,2,-1,0,,11:41:26,11:47:39,0
41,construction worker,married,primary,0,0,,19,jun,3,-1,0,,09:31:41,09:43:04,1
58,entrepreneur,married,secondary,0,0,mobile-phone,22,apr,1,-1,0,,14:46:12,14:48:24,1
37,data analyst,married,tertiary,0,0,mobile-phone,7,sep,1,186,1,success,14:05:19,14:10:56,1
27,civil servant,single,secondary,1,0,,9,may,3,-1,0,,11:14:40,11:15:24,0
57,civil servant,married,primary,0,0,mobile-phone,8,aug,2,-1,0,,15:28:05,15:31:32,0
58,data analyst,divorced,tertiary,1,0,,3,jun,4,-1,0,,11:20:57,11:22:46,0
39,construction worker,married,secondary,1,1,,5,jun,2,-1,0,,09:54:21,09:57:05,0
38,data analyst,divorced,tertiary,1,0,,27,may,3,-1,0,,09:43:33,09:46:57,0
31,data analyst,single,tertiary,0,0,mobile-phone,21,aug,2,-1,0,,14:21:22,14:25:25,0
46,construction worker,married,secondary,0,0,mobile-phone,20,aug,3,-1,0,,13:58:37,14:04:58,0
48,engineer,married,secondary,0,1,mobile-phone,8,jul,3,-1,0,,11:19:49,11:24:51,0
44,engineer,married,secondary,1,0,mobile-phone,11,jul,2,-1,0,,15:58:12,16:13:23,1
26,data analyst,single,tertiary,0,0,mobile-phone,11,nov,1,195,1,success,12:44:48,12:47:34,1
26,,divorced,secondary,1,0,mobile-phone,7,may,1,-1,0,,09:59:39,10:08:55,0
36,engineer,married,secondary,0,0,mobile-phone,30,apr,1,87,1,success,14:04:53,14:08:21,1
57,engineer,married,secondary,1,0,,8,may,6,-1,0,,12:29:36,12:33:51,0
58,engineer,married,secondary,1,0,telephone,29,jul,13,-1,0,,16:42:19,16:52:35,1
32,construction worker,single,secondary,1,0,,20,may,1,-1,0,,14:31:11,14:33:43,0
35,data analyst,single,tertiary,0,0,mobile-phone,2,feb,1,-1,0,,09:54:49,10:03:13,0
32,construction worker,married,primary,1,0,mobile-phone,13,may,1,370,2,failure,13:18:22,13:22:57,0
27,engineer,single,secondary,0,1,mobile-phone,8,jul,1,-1,0,,12:19:03,12:23:53,0
55,retired,married,primary,0,0,mobile-phone,21,nov,1,-1,0,,13:00:35,13:01:29,0
37,construction worker,married,primary,1,0,,16,jun,3,-1,0,,13:49:04,13:53:29,0
63,retired,married,secondary,0,0,telephone,17,feb,2,-1,0,,12:55:07,12:59:00,1
42,engineer,married,secondary,1,1,mobile-phone,19,nov,3,-1,0,,17:08:04,17:11:17,0
33,technician,married,secondary,1,1,mobile-phone,10,aug,1,161,4,failure,15:57:04,15:59:46,0
38,construction worker,married,secondary,1,0,mobile-phone,13,aug,3,94,10,failure,12:48:09,13:01:13,1
48,data analyst,single,tertiary,1,0,mobile-phone,28,sep,2,92,12,success,13:20:38,13:30:38,1
31,engineer,married,secondary,1,0,,9,may,1,-1,0,,10:07:58,10:16:56,1
32,construction worker,married,primary,1,0,mobile-phone,19,nov,1,-1,0,,10:03:09,10:16:49,1
32,engineer,single,tertiary,1,0,mobile-phone,15,may,1,352,5,failure,11:42:21,11:43:19,0
41,engineer,single,tertiary,0,0,mobile-phone,23,jul,1,-1,0,,13:28:53,13:30:38,0
44,construction worker,married,primary,1,0,mobile-phone,6,may,1,-1,0,,13:09:20,13:09:37,0
35,engineer,married,secondary,0,0,,9,jun,2,-1,0,,11:06:07,11:10:10,0
27,engineer,married,secondary,1,0,mobile-phone,11,jul,1,-1,0,,14:34:29,14:36:33,0
39,construction worker,divorced,secondary,0,0,mobile-phone,29,jul,4,-1,0,,14:22:49,14:35:04,0
29,data analyst,single,secondary,1,0,,27,may,3,-1,0,,17:46:18,17:46:23,0
27,civil servant,single,secondary,0,0,mobile-phone,1,jun,1,-1,0,,13:04:28,13:07:29,0
44,civil servant,married,secondary,0,0,telephone,30,jul,5,-1,0,,10:10:18,10:11:35,0
